Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],Latest Year Available [YR20080],"Latest Year Available, period 1990-1995 [YR19950]","Latest Year Available, period 1996-2000 [YR20006]","Latest Year Available, period 2001-2008 [YR20081]"
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity billed to commercial/medium voltage customers (GWh/year),AFELE137,..,..,..,..,..,..,136.435,139.63,153.8,160.2,166.99,198.47,..,..,..,..,198.47,..,..,198.47
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity billed to industrial/high voltage customers (GWh/year),AFELE138,..,..,..,..,..,..,0,0,0,0,0,0,..,..,..,..,0,..,..,0
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity billed to residential/low voltage customers (GWh/year),AFELE139,..,..,..,..,..,..,194.506,217.27,247.9,267.1,305.69,338.99,..,..,..,..,338.99,..,..,338.99
002. Burkina Faso_Sonabel,BFA_Sonabel,Electricity connections per employee (number),AFELE140,..,..,..,..,..,..,..,..,..,..,..,156,..,..,..,..,156,..,..,156
002. Burkina Faso_Sonabel,BFA_Sonabel,Electrification rate (% of popul. with electricity connection in utility service area),AFELE143,..,..,..,..,..,..,..,..,..,..,..,12.3395068051575,..,..,..,..,12.3395068051575,..,..,12.3395068051575
002. Burkina Faso_Sonabel,BFA_Sonabel,Hidden costs due to under-collection (% of GDP),AFELE168,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0.0357373247296045,..,..,0.0357373247296045
002. Burkina Faso_Sonabel,BFA_Sonabel,Hidden costs due to under-collection (% of revenue),AFELE169,..,..,..,..,..,..,..,..,..,..,..,1.83120096499971,..,..,..,..,1.83120096499971,..,..,1.83120096499971
002. Burkina Faso_Sonabel,BFA_Sonabel,Hidden costs due to under-collection (% of total hidden costs),AFELE170,..,..,..,..,..,..,..,..,..,..,..,3.77636302140482,..,..,..,..,3.77636302140482,..,..,3.77636302140482
002. Burkina Faso_Sonabel,BFA_Sonabel,Labor costs (% of operational costs),AFELE158,..,..,..,..,..,..,19.4101264437442,21.8811698518442,20.8054463349195,21.0064857989448,18.9473340086396,18.1024863019333,..,..,..,..,18.1024863019333,..,..,18.1024863019333
002. Burkina Faso_Sonabel,BFA_Sonabel,Labor costs (LCU/year),AFELE159,..,..,..,..,..,..,6101022000,6345071000,6801977000,7553371000,7795279000,8669936000,..,..,..,..,8669936000,..,..,8669936000
